ID;event;event_number;mp;Source;lineupcat_id;event_number_new
HCME_A__20200415_01;0;1;0;-;MULTI_2020-04-14_01;116
2020-04-14T21:54:00-CME-001;3;1;0;-;MULTI_2020-04-14_01;116
ICME_SOLO_MOESTL_20200419_01;1;1;1;-;MULTI_2020-04-14_01;116
ICME_Wind_MOESTL_20200420_01;1;1;1;-;MULTI_2020-04-14_01;116
ICME_BEPI_MOESTL_20200420_01;1;1;1;-;MULTI_2020-04-14_01;116
HCME_A__20200526_01;0;2;0;S40W05;MULTI_2020-05-26_01;115
2020-05-26T00:39:00-CME-001;3;2;0;S40W05;MULTI_2020-05-26_01;115
ICME_Wind_MOESTL_20200529_01;1;2;2;S40W05;MULTI_2020-05-26_01;115
ICME_BEPI_MOESTL_20200529_01;1;2;2;S40W05;MULTI_2020-05-26_01;115
HCME_A__20200527_01;0;3;0;-;MULTI_2020-05-27_01;114
2020-05-30T02:12:00-CME-001;3;3;0;-;MULTI_2020-05-27_01;114
ICME_STEREO_A_MOESTL_20200603_01;1;3;0;-;MULTI_2020-05-27_01;114
HCME_A__20200623_01;0;4;0;S20W08;MULTI_2020-06-22_01;113
2020-06-22T15:09:00-CME-001;3;4;0;S20W08;MULTI_2020-06-22_01;113
ICME_PSP_MOESTL_20200625_01;1;4;3;S20W08;MULTI_2020-06-22_01;113
ICME_BEPI_MOESTL_20200629_01;1;4;3;S20W08;MULTI_2020-06-22_01;113
ICME_Wind_MOESTL_20200630_01;1;4;3;S20W08;MULTI_2020-06-22_01;113
HCME_A__20200706_01;0;5;0;-;MULTI_2020-07-05_01;112
2020-07-05T14:24:00-CME-001;3;5;0;-;MULTI_2020-07-05_01;112
ICME_STEREO_A_MOESTL_20200709_01;1;5;0;-;MULTI_2020-07-05_01;112
HCME_A__20200709_01;0;6;0;-;MULTI_2020-07-09_01;111
ICME_Wind_MOESTL_20200713_01;1;6;0;-;MULTI_2020-07-09_01;111
HCME_A__20200719_01;0;7;0;-;MULTI_2020-07-19_01;110
