ID;event;event_number;mp;Source;lineupcat_id;event_number_old;event_number_new
HCME_A__20220404_01;0;58;0;S25E20;MULTI_2022-04-04_01;59;90
2022-04-04T22:12:00-CME-001;3;58;0;S25E20;MULTI_2022-04-04_01;59;90
ICME_Wind_MOESTL_20220408_01;1;58;0;S25E20;MULTI_2022-04-04_01;59;90
HCME_A__20220409_01;0;59;0;-;MULTI_2022-04-09_01;58;89
2022-04-09T09:12:00-CME-001;3;59;0;-;MULTI_2022-04-09_01;58;89
ICME_Wind_MOESTL_20220413_01;1;59;0;-;MULTI_2022-04-09_01;58;89
HCME_A__20220411_01;0;60;0;S15E05;MULTI_2022-04-11_01;57;88
2022-04-11T06:00:00-CME-001;3;60;0;S15E05;MULTI_2022-04-11_01;57;88
ICME_BEPI_MOESTL_20220413_01;1;60;24;S15E05;MULTI_2022-04-11_01;57;88
ICME_Wind_MOESTL_20220414_01;1;60;24;S15E05;MULTI_2022-04-11_01;57;88
HCME_A__20220416_01;0;61;0;-;MULTI_2022-04-16_01;56;87
2022-04-16T11:54:00-CME-001;3;61;0;-;MULTI_2022-04-16_01;56;87
ICME_PSP_MOESTL_20220418_01;1;61;0;-;MULTI_2022-04-16_01;56;87
HCME_A__20220602_01;0;62;0;S35W40;MULTI_2022-06-02_01;55;86
2022-06-02T06:09:00-CME-001;3;62;0;S35W40;MULTI_2022-06-02_01;55;86
ICME_BEPI_MOESTL_20220603_01;1;62;25;S35W40;MULTI_2022-06-02_01;55;86
ICME_Wind_MOESTL_20220606_01;1;62;25;S35W40;MULTI_2022-06-02_01;55;86
HCME_A__20220605_01;0;63;0;S35W50;MULTI_2022-06-05_01;54;85
2022-06-05T14:12:00-CME-001;3;63;0;S35W50;MULTI_2022-06-05_01;54;85
ICME_BEPI_MOESTL_20220607_01;1;63;0;S35W50;MULTI_2022-06-05_01;54;85
HCME_A__20220627_01;0;64;0;S30E09;MULTI_2022-06-26_01;53;84
2022-06-26T18:23:00-CME-001;3;64;0;S30E09;MULTI_2022-06-26_01;53;84
ICME_Wind_MOESTL_20220702_01;1;64;0;S30E09;MULTI_2022-06-26_01;53;84
HCME_A__20220703_02;0;65;0;-;MULTI_2022-07-03_01;52;83
2022-07-03T03:09:00-CME-001;3;65;0;-;MULTI_2022-07-03_01;52;83
ICME_Wind_MOESTL_20220707_01;1;65;0;-;MULTI_2022-07-03_01;52;83
HCME_A__20220708_02;0;66;0;-;MULTI_2022-07-08_01;51;82
ICME_STEREO_A_MOESTL_20220710_01;1;66;0;-;MULTI_2022-07-08_01;51;82
HCME_A__20220711_01;0;67;0;S20W100;MULTI_2022-07-11_01;50;81
2022-07-11T13:09:00-CME-001;3;67;0;S20W100;MULTI_2022-07-11_01;50;81
ICME_SOLO_MOESTL_20220713_01;1;67;0;S20W100;MULTI_2022-07-11_01;50;81
HCME_A__20220716_01;0;68;0;-;MULTI_2022-07-16_01;49;80
ICME_PSP_MOESTL_20220718_01;1;68;0;-;MULTI_2022-07-16_01;49;80
HCME_A__20220721_01;0;69;0;N13W04;MULTI_2022-07-21_01;48;79
2022-07-21T01:48:00-CME-001;3;69;0;N13W04;MULTI_2022-07-21_01;48;79
ICME_STEREO_A_MOESTL_20220722_01;1;69;0;N13W04;MULTI_2022-07-21_01;48;79
HCME_A__20220723_01;0;70;0;-;MULTI_2022-07-23_01;47;78
ICME_SOLO_MOESTL_20220725_01;1;70;0;-;MULTI_2022-07-23_01;47;78
HCME_A__20220817_01;0;71;0;S23W25;MULTI_2022-08-17_01;46;77
2022-08-17T14:53:00-CME-001;3;71;0;S23W25;MULTI_2022-08-17_01;46;77
ICME_PSP_MOESTL_20220818_01;1;71;0;S23W25;MULTI_2022-08-17_01;46;77
HCME_A__20220828_01;0;72;0;S27W85;MULTI_2022-08-28_01;45;76
2022-08-28T16:23:00-CME-001;3;72;0;S27W85;MULTI_2022-08-28_01;45;76
ICME_PSP_MOESTL_20220829_01;1;72;0;S27W85;MULTI_2022-08-28_01;45;76
HCME_A__20220830_01;0;73;0;-;MULTI_2022-08-31_01;44;75
ICME_SOLO_MOESTL_20220831_01;1;73;0;-;MULTI_2022-08-31_01;44;75
HCME_A__20220905_01;0;74;0;-;MULTI_2022-09-05_01;43;74
2022-09-05T16:36:00-CME-001;3;74;0;-;MULTI_2022-09-05_01;43;74
ICME_PSP_MOESTL_20220905_01;1;74;26;-;MULTI_2022-09-05_01;43;74
ICME_SOLO_MOESTL_20220906_01;1;74;26;-;MULTI_2022-09-05_01;43;74
HCME_A__20221103_01;0;75;0;-;MULTI_2022-11-03_01;42;73
